PO_ID,Supplier_ID,Supplier_Name,Region,Country,Product_Category,Product_SKU,Unit_Cost_USD,Lead_Time_Days,OTD_Rate_Pct,Defect_Rate_Pct,Compliance_Score,Contract_Tier,Payment_Terms_Days,MOQ_Units,Annual_Volume_Units,Risk_Level,Certifications,Last_Audit_Date,Sustainability_Score,Active_Disruptions,Alt_Supplier_ID,PO_Quarter,Units_Ordered,Units_Delivered_On_Time,Units_Rejected,PO_Value_USD
PO-10024,SUP-024,Seoultech Micro,APAC,South Korea,Electronic Components,SKU-EC-1008,3.89,38,86.6,1.1,68,Tier-2,45,11066,192456,Medium,ISO9001;RoHS,2024-07-18,53,Geopolitical tension flag,SUP-058,Q3-2023,40022,34659,440,155685.58
PO-10025,SUP-025,Koryo Alloy Systems,APAC,South Korea,Specialty Alloys,SKU-SA-1003,28.16,17,96.1,1.05,83,Tier-1,60,4869,58889,High,ISO9001;NADCAP,2023-11-12,72,Currency volatility flag,SUP-081,Q3-2023,5554,5337,58,156400.64
PO-10026,SUP-026,Hangang Steel Parts,APAC,South Korea,Mechanical Components,SKU-MC-1006,7.18,19,84.2,3.01,68,Tier-2,45,5368,841717,Low,ISO9001;IATF16949,2023-08-31,70,None,SUP-106,Q3-2023,20535,17290,618,147441.3
PO-10027,SUP-027,Busan Pack Corp,APAC,South Korea,Packaging Materials,SKU-PM-1004,3.35,12,92.7,3.13,92,Tier-2,45,7877,1644687,High,FSC;ISO9001,2023-06-13,59,Port closure risk,SUP-014,Q4-2023,16619,15405,520,55673.65
PO-10028,SUP-028,Hokkaido Alloy Tech,APAC,Japan,Specialty Alloys,SKU-SA-1004,19.46,20,97.1,0.28,81,Tier-1,60,4170,223321,Low,ISO9001;NADCAP;AS9100,2023-07-17,97,None,SUP-057,Q1-2023,14983,14548,41,291569.18
PO-10029,SUP-029,Kinki Precision Corp,APAC,Japan,Electronic Components,SKU-EC-1009,9.64,40,92.6,0.57,82,Tier-1,60,3674,396263,Low,ISO9001;AEC-Q100;RoHS,2024-08-17,94,None,SUP-044,Q1-2024,6599,6110,37,63614.36
PO-10030,SUP-030,Osaka Polymer Systems,APAC,Japan,Raw Materials,SKU-RM-1004,15.82,28,99.1,0.55,83,Tier-1,60,3974,357828,Low,ISO9001;ISO14001;REACH,2024-03-22,89,None,SUP-055,Q1-2024,4701,4658,25,74369.82
PO-10031,SUP-031,Sendai Mech Works,APAC,Japan,Mechanical Components,SKU-MC-1007,2.55,20,88.0,1.67,97,Tier-1,60,3383,266124,Medium,ISO9001;IATF16949,2023-11-04,91,Port congestion risk,SUP-111,Q2-2024,5424,4773,90,13831.2
PO-10032,SUP-032,Kyushu Textile Co,APAC,Japan,Industrial Textiles,SKU-IT-1004,4.15,16,93.8,1.23,90,Tier-1,60,1971,260434,Medium,OEKO-TEX;ISO9001;ISO14001,2024-07-15,82,Geopolitical tension flag,SUP-055,Q1-2024,5297,4968,65,21982.55
PO-10033,SUP-033,PrecisionForge Taiyuan,APAC,Taiwan,Mechanical Components,SKU-MC-1008,4.08,28,97.6,0.62,86,Tier-1,60,4209,271623,Medium,ISO9001;IATF16949,2023-03-28,83,Tariff adjustment pending,SUP-019,Q3-2023,15003,14642,93,61212.24
PO-10034,SUP-034,Formosa Circuit Co,APAC,Taiwan,Electronic Components,SKU-EC-1010,4.44,23,91.3,1.23,99,Tier-1,60,5911,202749,Low,ISO9001;AEC-Q100;RoHS,2024-09-17,80,None,SUP-040,Q4-2023,21480,19611,264,95371.2
PO-10035,SUP-035,Yulon Alloy Mfg,APAC,Taiwan,Specialty Alloys,SKU-SA-1005,17.25,34,92.4,0.6,80,Tier-2,45,14582,1136784,Low,ISO9001,2023-08-13,84,None,SUP-036,Q2-2023,42444,39218,254,732159.0
PO-10036,SUP-036,Kaohsiung Pack Co,APAC,Taiwan,Packaging Materials,SKU-PM-1005,1.12,19,81.0,3.08,83,Tier-2,45,5976,1057269,Low,FSC;ISO9001,2024-09-19,77,None,SUP-108,Q2-2024,20478,16587,630,22935.36
PO-10037,SUP-037,Straits Packaging Hub,APAC,Singapore,Packaging Materials,SKU-PM-1006,2.86,36,97.4,1.62,93,Tier-1,60,1703,429889,High,ISO9001;ISO14001,2024-05-11,96,Political instability flag,SUP-029,Q1-2024,5973,5817,96,17082.78
PO-10038,SUP-038,SingaMold Tech,APAC,Singapore,Mechanical Components,SKU-MC-1009,6.06,25,95.2,0.57,82,Tier-1,60,3151,207619,Low,ISO9001;IATF16949,2023-08-08,92,None,SUP-068,Q3-2024,5654,5382,32,34263.24
PO-10039,SUP-039,Krungsri Moldtech,APAC,Thailand,Mechanical Components,SKU-MC-1010,7.27,18,79.1,1.54,84,Tier-2,45,15767,916792,Medium,ISO9001;IATF16949,2023-01-07,77,Geopolitical tension flag,SUP-042,Q3-2024,47026,37197,724,341879.02
PO-10040,SUP-040,ChaoPhaya Pack,APAC,Thailand,Packaging Materials,SKU-PM-1007,2.07,35,94.0,1.24,79,Tier-2,45,19895,1777445,Medium,FSC;ISO9001,2023-01-30,74,None,SUP-075,Q3-2024,51722,48618,641,107064.54
PO-10041,SUP-041,Archipelago PCB Corp,APAC,Philippines,Electronic Components,SKU-EC-1011,7.71,47,70.5,3.41,75,Tier-3,30,9182,692483,High,ISO9001,2024-04-17,55,Labour strike risk,SUP-052,Q3-2024,13628,9607,464,105071.88
PO-10042,SUP-042,Visayas Textile Co,APAC,Philippines,Industrial Textiles,SKU-IT-1005,5.15,39,64.9,2.06,60,Tier-3,30,17423,331773,Medium,OEKO-TEX;ISO9001,2023-01-20,43,Port congestion risk,SUP-033,Q2-2023,48245,31311,993,248461.75
PO-10043,SUP-043,Tasman Circuit Boards,APAC,Australia,Electronic Components,SKU-EC-1012,4.02,10,96.6,0.19,91,Tier-1,60,654,169647,Medium,ISO9001;AEC-Q100;RoHS,2023-04-28,77,None,SUP-074,Q3-2023,1623,1567,3,6524.46
PO-10044,SUP-044,Broken Hill Alloys,APAC,Australia,Specialty Alloys,SKU-SA-1006,11.97,15,94.5,0.47,88,Tier-1,60,1741,203073,Low,ISO9001;NADCAP,2023-07-23,94,None,SUP-002,Q3-2024,4990,4715,23,59730.3
PO-10045,SUP-045,Sibertek Molding,APAC,Russia,Mechanical Components,SKU-MC-1011,6.61,37,62.1,3.48,70,Tier-3,30,24674,166935,Medium,ISO9001,2023-03-12,45,None,SUP-090,Q3-2024,73245,45485,2548,484149.45
PO-10046,SUP-046,Krauss-Polymex GmbH,EMEA,Germany,Raw Materials,SKU-RM-1005,16.73,35,93.8,0.68,93,Tier-1,60,3367,373229,Low,REACH;ISO9001;ISO14001,2023-10-04,96,None,SUP-102,Q3-2023,11915,11176,81,199337.95
PO-10047,SUP-047,Rheinwerk Precision AG,EMEA,Germany,Mechanical Components,SKU-MC-1012,3.88,25,95.1,1.66,95,Tier-1,60,3040,486542,Low,ISO9001;IATF16949,2024-04-20,84,None,SUP-044,Q4-2024,7035,6690,116,27295.8
PO-10048,SUP-048,Berliner Pack GmbH,EMEA,Germany,Packaging Materials,SKU-PM-1008,1.46,28,94.6,1.24,90,Tier-1,60,1889,295616,Low,FSC;ISO14001;ISO9001,2023-01-11,70,None,SUP-084,Q1-2024,6442,6094,79,9405.32
PO-10049,SUP-049,Munich Alloy Technik,EMEA,Germany,Specialty Alloys,SKU-SA-1007,24.76,23,93.9,0.42,87,Tier-1,60,4300,378639,Low,ISO9001;NADCAP;AS9100,2024-02-19,93,None,SUP-061,Q1-2024,7930,7446,33,196346.8
PO-10050,SUP-050,Dresdner Textilwerk,EMEA,Germany,Industrial Textiles,SKU-IT-1006,5.66,28,89.8,1.26,85,Tier-2,45,13264,992346,Medium,OEKO-TEX;ISO9001,2023-11-10,71,Port congestion risk,SUP-024,Q4-2024,31018,27854,390,175561.88
PO-10051,SUP-051,Toreval Electronics,EMEA,France,Electronic Components,SKU-EC-1013,4.85,42,90.9,0.31,86,Tier-1,60,1916,140422,Low,ISO9001;AEC-Q100;RoHS,2023-07-18,80,None,SUP-011,Q1-2024,2739,2489,8,13284.15
PO-10052,SUP-052,Lyon Polymer SAS,EMEA,France,Raw Materials,SKU-RM-1006,18.27,16,91.4,0.71,89,Tier-1,60,2647,63863,Medium,ISO9001;ISO14001;REACH,2023-01-13,70,Geopolitical tension flag,SUP-069,Q4-2024,3487,3187,24,63707.49
PO-10053,SUP-053,Bordeaux Pack SAS,EMEA,France,Packaging Materials,SKU-PM-1009,2.18,13,87.8,1.71,81,Tier-2,45,10273,1907164,Low,FSC;ISO14001;ISO9001,2023-02-24,69,None,SUP-116,Q2-2023,29180,25620,498,63612.4
PO-10054,SUP-054,Lumivex Semiconductor NL,EMEA,Netherlands,Electronic Components,SKU-EC-1014,6.28,15,89.7,1.48,89,Tier-1,60,4971,440788,High,ISO9001;AEC-Q100;RoHS,2024-03-29,72,Political instability flag,SUP-038,Q3-2024,12352,11079,182,77570.56
PO-10055,SUP-055,Rotterdam Chem BV,EMEA,Netherlands,Raw Materials,SKU-RM-1007,7.92,11,91.4,1.1,93,Tier-1,60,5394,428019,Low,ISO9001;ISO14001;REACH,2023-03-25,79,None,SUP-083,Q1-2024,16214,14819,178,128414.88
PO-10056,SUP-056,Solveig Eco Packaging,EMEA,Sweden,Packaging Materials,SKU-PM-1010,1.39,36,89.8,0.4,82,Tier-1,60,5264,286369,Low,FSC;ISO14001;ISO9001,2023-08-28,75,None,SUP-093,Q4-2024,6430,5774,25,8937.7
PO-10057,SUP-057,Norrsken Textiles AB,EMEA,Sweden,Industrial Textiles,SKU-IT-1007,4.06,20,98.6,1.44,98,Tier-1,60,3882,100175,Medium,OEKO-TEX;ISO9001;ISO14001,2023-03-03,91,Port congestion risk,SUP-047,Q3-2023,5051,4980,72,20507.06
PO-10058,SUP-058,Norbec Alloy Works,EMEA,Norway,Specialty Alloys,SKU-SA-1008,18.09,37,89.9,0.62,98,Tier-1,60,2891,406861,Low,ISO9001;ISO14001;AS9100,2024-09-04,79,None,SUP-006,Q4-2024,4208,3782,26,76122.72
PO-10059,SUP-059,Fjord Polymer AS,EMEA,Norway,Raw Materials,SKU-RM-1008,16.67,13,88.5,0.83,90,Tier-1,60,2275,393526,Low,ISO9001;ISO14001;REACH,2023-02-11,89,None,SUP-041,Q1-2024,6995,6190,58,116606.65
PO-10060,SUP-060,Nordloom Finland Oy,EMEA,Finland,Industrial Textiles,SKU-IT-1008,3.82,25,96.8,0.4,96,Tier-1,60,1886,346881,Low,OEKO-TEX;ISO9001;ISO14001,2023-12-08,90,None,SUP-005,Q2-2024,5231,5063,20,19982.42
PO-10061,SUP-061,Helsinki Pack Oy,EMEA,Finland,Packaging Materials,SKU-PM-1011,3.43,27,83.5,0.69,72,Tier-2,45,11444,1489538,Medium,FSC;ISO9001,2023-11-19,69,Seasonal flood risk,SUP-066,Q4-2024,17215,14374,118,59047.45
PO-10062,SUP-062,Borealis Composites,EMEA,Denmark,Raw Materials,SKU-RM-1009,12.34,8,90.9,0.3,92,Tier-1,60,5787,495798,Low,ISO9001;ISO14001;REACH,2024-03-28,97,None,SUP-013,Q2-2024,22121,20107,66,272973.14
PO-10063,SUP-063,Elsinor Pack AS,EMEA,Denmark,Packaging Materials,SKU-PM-1012,0.92,26,90.9,0.97,84,Tier-2,45,17883,354648,High,FSC;ISO9001,2024-07-18,56,Political instability flag,SUP-038,Q3-2023,38248,34767,371,35188.16
PO-10064,SUP-064,Ostwind Composites AG,EMEA,Austria,Raw Materials,SKU-RM-1010,16.22,37,88.2,0.79,87,Tier-1,60,1362,379586,High,ISO9001;ISO14001;REACH,2024-05-09,96,Typhoon season disruption,SUP-014,Q1-2024,3063,2701,24,49681.86
PO-10065,SUP-065,Wiener Alloy GmbH,EMEA,Austria,Specialty Alloys,SKU-SA-1009,31.59,41,94.7,1.08,84,Tier-2,45,18654,1665088,Medium,ISO9001;NADCAP,2024-06-03,57,Port congestion risk,SUP-048,Q3-2024,40928,38758,442,1292915.52
PO-10066,SUP-066,Valdoro Special Alloys,EMEA,Italy,Specialty Alloys,SKU-SA-1010,20.91,39,91.1,0.1,89,Tier-1,60,1617,274119,Low,ISO9001;ISO14001;NADCAP,2023-11-26,96,None,SUP-048,Q3-2024,5347,4871,5,111805.77
PO-10067,SUP-067,Braccio Metalli SpA,EMEA,Italy,Specialty Alloys,SKU-SA-1011,17.83,39,92.8,3.15,74,Tier-2,45,15460,191535,Medium,ISO9001;NADCAP,2023-06-05,84,Regulatory audit pending,SUP-116,Q3-2024,58955,54710,1857,1051167.65
PO-10068,SUP-068,Milano Textil Srl,EMEA,Italy,Industrial Textiles,SKU-IT-1009,3.75,15,86.4,0.5,83,Tier-2,45,16427,309110,Medium,OEKO-TEX;ISO9001,2023-06-08,85,Geopolitical tension flag,SUP-087,Q3-2024,59338,51268,296,222517.5
PO-10069,SUP-069,Ibervex Quimica SL,EMEA,Spain,Raw Materials,SKU-RM-1011,10.66,24,79.3,2.59,75,Tier-2,45,4631,1886281,Medium,ISO9001;REACH,2024-05-14,69,Seasonal flood risk,SUP-002,Q2-2024,14900,11815,385,158834.0
PO-10070,SUP-070,Catalan Pack SA,EMEA,Spain,Packaging Materials,SKU-PM-1013,2.57,41,92.8,0.5,69,Tier-2,45,11416,577073,Medium,FSC;ISO9001,2023-06-20,63,None,SUP-052,Q2-2023,40492,37576,202,104064.44
PO-10071,SUP-071,Ferralux Gulf FZE,EMEA,UAE,Specialty Alloys,SKU-SA-1012,18.38,21,89.8,2.93,68,Tier-2,45,13746,886098,High,ISO9001;ISO14001,2023-06-29,68,Port closure risk,SUP-028,Q3-2023,24886,22347,729,457404.68
PO-10072,SUP-072,Almaral Steel FZC,EMEA,UAE,Specialty Alloys,SKU-SA-1013,18.96,30,79.3,2.84,86,Tier-2,45,6689,586934,Medium,ISO9001,2023-10-22,63,Port congestion risk,SUP-042,Q1-2023,21934,17393,622,415868.64
PO-10073,SUP-073,Dubai Pack FZE,EMEA,UAE,Packaging Materials,SKU-PM-1014,1.58,21,89.5,0.84,81,Tier-2,45,15903,1547692,High,FSC;ISO9001,2023-08-31,70,Political instability flag,SUP-007,Q4-2024,22892,20488,192,36169.36
PO-10074,SUP-074,Novex Fab Polska,EMEA,Poland,Mechanical Components,SKU-MC-1013,2.32,38,84.5,1.41,76,Tier-2,45,14969,675627,Low,ISO9001,2023-08-24,66,None,SUP-081,Q4-2024,33725,28497,475,78242.0
PO-10075,SUP-075,Vistula Pack Sp,EMEA,Poland,Packaging Materials,SKU-PM-1015,2.24,26,76.4,2.36,70,Tier-3,30,8183,697937,High,FSC;ISO9001,2023-05-15,42,Regulatory enforcement pending,SUP-080,Q2-2024,32180,24585,759,72083.2
PO-10076,SUP-076,BalticPrint OU,EMEA,Estonia,Packaging Materials,SKU-PM-1016,3.21,16,79.5,1.23,90,Tier-2,45,19675,1938071,Low,FSC;ISO9001,2024-05-08,74,None,SUP-067,Q3-2023,36515,29029,449,117213.15
PO-10077,SUP-077,Kovalev Metalburg,EMEA,Czechia,Mechanical Components,SKU-MC-1014,8.29,14,94.4,1.23,77,Tier-2,45,6612,1681570,Medium,ISO9001;IATF16949,2024-01-10,55,Geopolitical tension flag,SUP-048,Q3-2024,24874,23481,305,206205.46
PO-10078,SUP-078,Varna Electronics EAD,EMEA,Bulgaria,Electronic Components,SKU-EC-1015,6.14,41,62.4,2.5,58,Tier-3,30,13590,652955,Medium,ISO9001;RoHS,2023-01-26,64,Port congestion risk,SUP-092,Q4-2023,44488,27760,1112,273156.32
PO-10079,SUP-079,Helios Pack Greece,EMEA,Greece,Packaging Materials,SKU-PM-1017,1.6,47,76.7,4.31,60,Tier-3,30,14902,720776,High,ISO9001,2023-04-10,44,Labour strike risk,SUP-002,Q4-2024,22512,17266,970,36019.2
PO-10080,SUP-080,Maghreb Castworks,EMEA,Morocco,Mechanical Components,SKU-MC-1015,5.48,52,66.3,2.97,62,Tier-3,30,18733,655870,Medium,ISO9001,2024-05-16,59,Tariff adjustment pending,SUP-048,Q2-2023,73369,48643,2179,402062.12
PO-10081,SUP-081,Lisbon Polymer Lda,EMEA,Portugal,Raw Materials,SKU-RM-1012,19.71,18,88.5,3.03,75,Tier-2,45,16528,1032594,Medium,ISO9001;REACH,2024-01-03,50,None,SUP-053,Q2-2024,52210,46205,1581,1029059.1
PO-10082,SUP-082,Veltara Packing Solutions,LATAM,Brazil,Packaging Materials,SKU-PM-1018,2.5,18,79.0,1.17,70,Tier-2,45,2699,206070,Low,FSC;ISO9001,2024-07-21,77,None,SUP-067,Q4-2023,3261,2576,38,8152.5
PO-10083,SUP-083,Sao Paulo Polymer,LATAM,Brazil,Raw Materials,SKU-RM-1013,14.63,37,81.5,1.0,74,Tier-2,45,2092,681487,Medium,ISO9001,2023-04-23,69,None,SUP-037,Q1-2024,3521,2869,35,51512.23
PO-10084,SUP-084,Recife Textiles SA,LATAM,Brazil,Industrial Textiles,SKU-IT-1010,2.12,19,89.2,0.47,67,Tier-2,45,12609,133095,High,OEKO-TEX;ISO9001,2024-05-02,70,Port closure risk,SUP-036,Q2-2023,16774,14962,78,35560.88
PO-10085,SUP-085,Minas Gerais Alloys,LATAM,Brazil,Specialty Alloys,SKU-SA-1014,29.65,19,85.6,1.41,85,Tier-2,45,3420,1625139,Medium,ISO9001,2023-03-04,54,Seasonal flood risk,SUP-008,Q4-2024,3930,3364,55,116524.5
PO-10086,SUP-086,Tecovar Industrial Textiles,LATAM,Mexico,Industrial Textiles,SKU-IT-1011,4.9,41,95.0,2.77,80,Tier-2,45,16534,254121,Medium,OEKO-TEX;ISO9001,2024-08-22,54,None,SUP-095,Q3-2023,34557,32829,957,169329.3
PO-10087,SUP-087,Guadalajara Mold Co,LATAM,Mexico,Mechanical Components,SKU-MC-1016,5.65,28,87.3,1.31,86,Tier-2,45,16096,307992,Low,ISO9001;IATF16949,2024-04-07,81,None,SUP-055,Q4-2023,44281,38657,580,250187.65
PO-10088,SUP-088,Monterrey Pack SA,LATAM,Mexico,Packaging Materials,SKU-PM-1019,1.45,15,93.1,1.56,81,Tier-2,45,12241,994988,Medium,FSC;ISO9001,2023-04-04,73,None,SUP-060,Q4-2024,16640,15491,259,24128.0
PO-10089,SUP-089,Yucatan Polymer Mfg,LATAM,Mexico,Raw Materials,SKU-RM-1014,13.65,21,82.5,1.51,53,Tier-3,30,24217,628866,High,ISO9001,2023-10-22,53,Port closure risk,SUP-019,Q3-2024,30960,25542,467,422604.0
PO-10090,SUP-090,Plataforma Metales SA,LATAM,Argentina,Raw Materials,SKU-RM-1015,10.54,48,76.2,2.36,68,Tier-3,30,12348,153475,Medium,ISO9001,2024-03-15,62,None,SUP-072,Q1-2024,27169,20702,641,286361.26
PO-10091,SUP-091,Patagonia Alloys SRL,LATAM,Argentina,Specialty Alloys,SKU-SA-1015,18.64,35,82.8,4.42,76,Tier-3,30,5948,229179,Low,ISO9001,2023-05-27,65,None,SUP-020,Q1-2023,11892,9846,525,221666.88
PO-10092,SUP-092,Buenos Aires Pack,LATAM,Argentina,Packaging Materials,SKU-PM-1020,1.74,51,75.3,2.52,54,Tier-3,30,12049,434468,Low,ISO9001,2023-02-23,31,None,SUP-016,Q2-2024,17616,13264,443,30651.84
PO-10093,SUP-093,Andino Fiber Corp,LATAM,Colombia,Industrial Textiles,SKU-IT-1012,3.99,33,80.6,2.51,68,Tier-2,45,15894,1118506,Low,OEKO-TEX;ISO9001,2024-03-16,53,None,SUP-074,Q2-2023,38515,31043,966,153674.85
PO-10094,SUP-094,Bogota Pack Ltda,LATAM,Colombia,Packaging Materials,SKU-PM-1021,1.83,37,63.0,3.44,68,Tier-3,30,6488,271230,High,FSC;ISO9001,2023-05-21,61,Labour strike risk,SUP-005,Q1-2024,13409,8447,461,24538.47
PO-10095,SUP-095,Cerromax Mineria,LATAM,Peru,Raw Materials,SKU-RM-1016,11.43,45,80.6,2.16,53,Tier-3,30,10757,175461,High,ISO9001,2023-02-13,30,Audit overdue; compliance review,SUP-105,Q3-2024,38995,31429,842,445712.85
PO-10096,SUP-096,Lima Polymer SA,LATAM,Peru,Raw Materials,SKU-RM-1017,6.33,43,71.8,2.72,52,Tier-3,30,18686,343578,High,ISO9001,2024-01-06,50,Audit overdue; compliance review,SUP-002,Q4-2024,73213,52566,1991,463438.29
PO-10097,SUP-097,Amapola Fibras,LATAM,Chile,Industrial Textiles,SKU-IT-1013,5.5,28,79.5,2.76,74,Tier-2,45,4577,929982,Medium,OEKO-TEX;ISO9001,2024-06-06,75,None,SUP-024,Q3-2023,5828,4633,160,32054.0
PO-10098,SUP-098,Cobre del Sur SA,LATAM,Chile,Specialty Alloys,SKU-SA-1016,12.94,42,88.8,1.89,73,Tier-2,45,6839,595491,Medium,ISO9001,2023-07-01,70,None,SUP-060,Q3-2023,9308,8265,175,120445.52
PO-10099,SUP-099,Santiago Pack Corp,LATAM,Chile,Packaging Materials,SKU-PM-1022,2.99,26,94.2,2.16,81,Tier-2,45,12590,1912457,Medium,FSC;ISO9001,2023-11-07,84,Tariff adjustment pending,SUP-108,Q4-2024,41570,39158,897,124294.3
